# The Faith Received — author denominations
#
# name <TAB> body <TAB> party <TAB> confidence <TAB> note
#
# BODY    the church he belonged to. One of: Anglican, Presbyterian,
#         Congregational, Baptist, Quaker, Continental Reformed,
#         Lutheran, Anabaptist, Arminian, Bohemian Brethren,
#         Waldensian, Socinian, Roman Catholic, Eastern Orthodox.
# PARTY   Puritan or Conformist, or blank. Cuts across the bodies.
# CONF    h  certain — a man whose church is not in question
#         m  confident — the standard account, held without hedging
#         l  inferred — from his associations, his printers, his dates
#                and what he wrote, not from a settled biography.
#            Read these as a first pass that wants checking.
#
# Either column may be blank, but not both. A man whose body is genuinely
# contested gets his party and no body, which is truer than a guess:
# John Lilburne wrote as a Leveller, was gathered with Separatists and
# died a Quaker, and filing him under any one of them misstates the
# other two.
#
# The name is matched on the key in assets/js/faith-denominations.js:
# life dates and cataloguers' apparatus stripped, surname-first names
# put back in reading order. So one line covers "Owen, John, 1616-1683"
# in Early English Books and "John Owen" in the Latin Library.
#
# A NOTE ON "ANGLICAN". It means the established Church of England,
# and carries no party with it. William Perkins was a beneficed
# clergyman of that church and is filed as one; his Puritan party says
# the rest. Only a man who actually left — to a gathered church, a
# presbytery, a meeting — takes a different body.

# ── The establishment ─────────────────────────────────────────────
Andrewes, Lancelot	Anglican	Conformist	h
Allestree, Richard	Anglican	Conformist	h
Burnet, Gilbert	Anglican	Conformist	h
Comber, Thomas	Anglican	Conformist	h
Donne, John, 1572-1631	Anglican	Conformist	h
Featley, Daniel	Anglican	Conformist	h	Calvinist conformist; sat at Westminster but defended episcopacy
Fuller, Thomas	Anglican	Conformist	h
Gauden, John	Anglican	Conformist	h
Hall, Joseph	Anglican	Conformist	h	Calvinist in doctrine, episcopalian in polity
Hammond, Henry	Anglican	Conformist	h
Hardy, Nathaniel	Anglican	Conformist	m	Dean of Rochester
Heylyn, Peter	Anglican	Conformist	h	Laud's apologist
Horneck, Anthony	Anglican	Conformist	m	German-born, ordained in the Church of England
Jackson, Thomas, 1579-1640	Anglican	Conformist	m	President of Corpus Christi, Oxford; anti-Calvinist
Jewel, John	Anglican	Conformist	h
Laud, William	Anglican	Conformist	h
Long, Thomas	Anglican	Conformist	m
Morton, Thomas, 1564-1659	Anglican	Conformist	h
More, Henry, 1614-1687	Anglican	Conformist	h	Cambridge Platonist
Patrick, Simon	Anglican	Conformist	h	Latitudinarian
Pelling, Edward	Anglican	Conformist	m
Pierce, Thomas	Anglican	Conformist	m	Anti-Calvinist controversialist
Sanderson, Robert	Anglican	Conformist	h
Sherlock, William	Anglican	Conformist	h
Stillingfleet, Edward	Anglican	Conformist	h
Taylor, Jeremy	Anglican	Conformist	h
Tillotson, John	Anglican	Conformist	h
Ussher, James	Anglican	Conformist	h	Church of Ireland; Calvinist in doctrine
Wake, William	Anglican	Conformist	h
Whitby, Daniel, 1638-1726	Anglican	Conformist	h
Wilkins, John	Anglican	Conformist	h
Williams, John, 1636?-1709	Anglican	Conformist	m	Bishop of Chichester, 1636?-1709
Sutcliffe, Matthew, 1550?-1629	Anglican	Conformist	m	Dean of Exeter, anti-presbyterian controversialist
Spelman, Henry	Anglican	Conformist	m	Lay antiquary, defender of church rights
Ford, Simon	Anglican	Conformist	m	Conformed at the Restoration
Price, Daniel	Anglican	Conformist	m	Chaplain to Prince Henry
Reading, John	Anglican	Conformist	m	Royalist divine of Dover
Williams, Gryffith	Anglican	Conformist	m	Bishop of Ossory
Broughton, Richard	Roman Catholic		m	Secular priest and controversialist
Parsons, Robert, 1546-1610	Roman Catholic		h	Jesuit
Erasmus, Desiderius	Roman Catholic		h

# ── Puritans who stayed in the Church of England ──────────────────
# Beneficed or licensed clergy of the establishment, whatever their
# quarrel with its ceremonies. The body is the church that paid them.
Perkins, William	Anglican	Puritan	h
Sibbes, Richard	Anglican	Puritan	h
Preston, John, 1587-1628	Anglican	Puritan	h
Reynolds, Edward	Anglican	Puritan	h	Westminster divine who conformed in 1662; Bishop of Norwich
Bernard, Richard	Anglican	Puritan	m
Taylor, Thomas, 1576-1632	Anglican	Puritan	m	1576-1632
Smith, Henry, 1550?-1591	Anglican	Puritan	m	"Silver-tongued" Smith, 1550?-1591
Dod, John	Anglican	Puritan	h
Dent, Arthur	Anglican	Puritan	m
Bolton, Robert	Anglican	Puritan	h
Byfield, Nicholas	Anglican	Puritan	m
Baynes, Paul	Anglican	Puritan	m
Fenner, William	Anglican	Puritan	m
Harris, Robert	Anglican	Puritan	m
Whately, William	Anglican	Puritan	m	"The roaring boy of Banbury"
Gouge, William	Anglican	Puritan	h	Westminster divine
Downame, George	Anglican	Puritan	m	Bishop of Derry; Calvinist
Willet, Andrew	Anglican	Puritan	m
Bradshaw, William	Anglican	Puritan	m	Nonconformist in ceremony, not in separation
Hieron, Samuel	Anglican	Puritan	m
Crashaw, William	Anglican	Puritan	m
Sclater, William, 1575-1626	Anglican	Puritan	m
Broughton, Hugh	Anglican	Puritan	m	Hebraist; nonconforming but never separated
Adams, Thomas, fl. 1612-1653	Anglican	Puritan	m	fl. 1612-1653
Cowper, William, 1568-1619	Anglican	Puritan	m	Bishop of Galloway, 1568-1619
Gifford, George	Anglican	Puritan	m
Cooper, Thomas, fl. 1626	Anglican	Puritan	l	fl. 1626
Younge, Richard	Anglican	Puritan	l	Lay moralist of Essex
Woodward, Ezekias	Anglican	Puritan	l
Walker, George, 1581?-1651	Anglican	Puritan	m	Westminster divine
Clapham, Henoch	Anglican	Puritan	l
Norden, John	Anglican	Puritan	l	Lay surveyor and devotional writer
Andrewes, John	Anglican	Puritan	l	fl. 1615; not Lancelot
Vicars, John	Anglican	Puritan	m	Parliamentarian chronicler
Guild, William	Anglican	Puritan	l	Aberdeen; conformed to episcopacy under the Covenant
Bell, Thomas, fl. 1593-1610	Anglican	Puritan	l	fl. 1593-1610; convert from Rome
Burton, William, d. 1616	Anglican	Puritan	l	d. 1616
Tuke, Thomas	Anglican	Puritan	l
Clarke, Samuel, 1599-1682	Anglican	Puritan	m	1599-1682, the martyrologist

# ── The English Reformation and the Marian martyrs ────────────────
# Before the parties hardened. Filed to the establishment they built.
Becon, Thomas	Anglican		m	Edwardian reformer
Bale, John	Anglican		m
